Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
127017533,9/1/2021 17:18,9/1/2021 17:21,71222,158,1004,First Ave & B St (T Station),49731,Ross St & Fourth Ave,Subscriber
127017545,9/1/2021 17:19,9/1/2021 17:27,70599,496,1052,McAnulty Dr & Forbes Ave,1010,10th St & Penn Ave,Subscriber
127017593,9/1/2021 17:20,9/1/2021 17:31,70620,649,49391,E Liberty Blvd & Negley Ave,1026,Penn Ave & S Whitfield St,Subscriber
127017621,9/1/2021 17:21,9/1/2021 18:20,70684,3566,1024,S Negley Ave & Baum Blvd,1024,S Negley Ave & Baum Blvd,Subscriber
127017638,9/1/2021 17:21,9/1/2021 22:31,70809,18601,1082,W Station Square Dr & Bessemer Court,1082,W Station Square Dr & Bessemer Court,Customer
127017829,9/1/2021 17:26,9/1/2021 17:32,70848,381,1044,Zulema St & Coltart Ave,1041,Fifth Ave & S Bouquet St,Subscriber
127017839,9/1/2021 17:26,9/1/2021 17:39,70246,808,49671,9th St & Penn Ave,1012,North Shore Trail & Fort Duquesne Bridge,Subscriber
127018123,9/1/2021 17:34,9/1/2021 17:49,70442,922,1074,South Side Trail & S 4th St,1084,Hot Metal St & Tunnel Blvd,Subscriber
127018128,9/1/2021 17:34,9/1/2021 17:46,70619,743,49941,Allegheny Station,1004,First Ave & B St (T Station),Customer
127018147,9/1/2021 17:35,9/1/2021 17:45,71152,598,1059,Burns White Center at 3 Crossings,49671,9th St & Penn Ave,Subscriber
127018222,9/1/2021 17:37,9/1/2021 17:42,70904,321,1091,Semple St & Louisa St,1038,Boulevard of the Allies & Parkview Ave,Subscriber
127018545,9/1/2021 17:47,9/1/2021 17:51,70105,246,1093,S Bouquet Ave & Sennott St,1094,O'Hara St & Desoto St,Subscriber
127018547,9/1/2021 17:47,9/1/2021 17:49,70956,161,1093,S Bouquet Ave & Sennott St,1094,O'Hara St & Desoto St,Subscriber
127018631,9/1/2021 17:50,9/1/2021 17:58,70620,467,1026,Penn Ave & S Whitfield St,1063,Penn Ave & N Atlantic Ave,Subscriber
127018656,9/1/2021 17:51,9/1/2021 17:58,71155,429,1099,Forbes Ave & S Craig St,1041,Fifth Ave & S Bouquet St,Subscriber
127018766,9/1/2021 17:54,9/1/2021 18:11,71232,1016,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1049,S 12th St & E Carson St,Customer
127018972,9/1/2021 18:02,9/1/2021 18:09,70793,435,1026,Penn Ave & S Whitfield St,49391,E Liberty Blvd & Negley Ave,Subscriber
127018973,9/1/2021 18:02,9/1/2021 18:10,70202,511,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1038,Boulevard of the Allies & Parkview Ave,Subscriber
127019060,9/1/2021 18:05,9/1/2021 19:43,70978,5897,1018,Butler St & Stanton Ave,1018,Butler St & Stanton Ave,Customer
127019102,9/1/2021 18:06,9/1/2021 19:41,70858,5675,1018,Butler St & Stanton Ave,1018,Butler St & Stanton Ave,Customer
127019104,9/1/2021 18:06,9/1/2021 18:40,70510,2004,49951,Butler St & 36th St,49951,Butler St & 36th St,Customer
127019110,9/1/2021 18:06,9/1/2021 18:50,70953,2615,1054,Smithfield St & Fourth Ave,1054,Smithfield St & Fourth Ave,Subscriber
127019112,9/1/2021 18:06,9/1/2021 18:09,70950,176,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1099,Forbes Ave & S Craig St,Customer
127019143,9/1/2021 18:08,9/1/2021 18:27,70848,1189,1041,Fifth Ave & S Bouquet St,1084,Hot Metal St & Tunnel Blvd,Subscriber
127019154,9/1/2021 18:08,9/1/2021 18:14,70698,391,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),1034,Ellsworth Ave & N Neville St,Subscriber
127019161,9/1/2021 18:08,9/1/2021 18:28,71155,1165,1041,Fifth Ave & S Bouquet St,1084,Hot Metal St & Tunnel Blvd,Customer
127019164,9/1/2021 18:08,9/2/2021 8:51,70680,52978,49951,Butler St & 36th St,49951,Butler St & 36th St,Customer
127019168,9/1/2021 18:08,9/1/2021 18:15,70709,394,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),1034,Ellsworth Ave & N Neville St,Subscriber
127019252,9/1/2021 18:11,9/1/2021 18:24,70925,737,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1022,Liberty Ave & S Millvale Ave (West Penn Hospital),Subscriber
127019357,9/1/2021 18:16,9/1/2021 18:18,70105,105,1094,O'Hara St & Desoto St,1094,O'Hara St & Desoto St,Subscriber
127019378,9/1/2021 18:17,9/2/2021 0:15,70955,21484,1059,Burns White Center at 3 Crossings,1002,Third Ave & Wood St,Customer
127019397,9/1/2021 18:18,9/1/2021 18:30,70705,736,1099,Forbes Ave & S Craig St,1023,Liberty Ave & Baum Blvd,Subscriber
127019410,9/1/2021 18:18,9/1/2021 18:27,70665,542,1017,21st St & Penn Ave,1011,Fort Duquesne Blvd & 7th St,Customer
127019415,9/1/2021 18:18,9/1/2021 18:19,70956,87,1094,O'Hara St & Desoto St,1094,O'Hara St & Desoto St,Subscriber
127019427,9/1/2021 18:18,9/1/2021 18:38,70574,1175,1099,Forbes Ave & S Craig St,49391,E Liberty Blvd & Negley Ave,Subscriber
127019435,9/1/2021 18:18,9/1/2021 18:26,70770,475,1017,21st St & Penn Ave,1011,Fort Duquesne Blvd & 7th St,Customer
127019489,9/1/2021 18:20,9/1/2021 18:26,70638,326,1097,Tennyson Ave & Fifth Ave,49301,Centre Ave & N Craig St,Subscriber
127019607,9/1/2021 18:26,9/1/2021 18:32,70565,376,1091,Semple St & Louisa St,1088,Frazier St & Dawson St,Subscriber
127019610,9/1/2021 18:26,9/1/2021 18:55,71207,1762,49261,Wightman St & Forbes Ave,1048,S 18th St & Sidney St,Subscriber
127019743,9/1/2021 18:32,9/1/2021 18:43,70744,672,1023,Liberty Ave & Baum Blvd,1025,Penn Ave & N Fairmount St,Subscriber
127019866,9/1/2021 18:37,9/1/2021 19:34,70347,3417,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),Customer
127019881,9/1/2021 18:37,9/1/2021 18:54,70859,1008,1045,S 27th St & Sidney St. (Southside Works),49781,Fifth Ave & Miltenberger St,Customer
127019975,9/1/2021 18:41,9/1/2021 18:47,70527,319,1013,Isabella St & Federal St (PNC Park),49691,Liberty Ave & 6th St,Customer
127019990,9/1/2021 18:43,9/1/2021 19:57,71173,4444,49611,24th St & Smallman St,1010,10th St & Penn Ave,Customer
127020020,9/1/2021 18:44,9/1/2021 18:55,70604,632,1023,Liberty Ave & Baum Blvd,1027,Shady Ave & Ellsworth Ave,Customer
127020071,9/1/2021 18:47,9/1/2021 18:55,70855,436,1088,Frazier St & Dawson St,1093,S Bouquet Ave & Sennott St,Subscriber
127020168,9/1/2021 18:52,9/1/2021 20:57,70791,7497,1072,Glasshouse,1010,10th St & Penn Ave,Customer
127020188,9/1/2021 18:53,9/1/2021 21:20,70849,8822,1072,Glasshouse,1010,10th St & Penn Ave,Customer
127020268,9/1/2021 18:58,9/1/2021 19:10,71214,713,1034,Ellsworth Ave & N Neville St,1032,Walnut St & College St,Customer
127020286,9/1/2021 18:59,9/1/2021 19:27,70946,1661,1048,S 18th St & Sidney St,1011,Fort Duquesne Blvd & 7th St,Subscriber
127020330,9/1/2021 19:02,9/1/2021 20:06,70834,3847,1097,Tennyson Ave & Fifth Ave,1069,Beacon St & Murray Ave,Subscriber
127020345,9/1/2021 19:04,9/2/2021 10:11,70644,54429,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
127020361,9/1/2021 19:05,9/2/2021 10:15,70805,54593,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
127020373,9/1/2021 19:06,9/2/2021 10:52,70821,56788,1056,Wood St & Sixth Ave,,BIKE 70821,Customer
127020416,9/1/2021 19:09,9/1/2021 19:23,70832,887,1028,Penn Ave & Putnam St (Bakery Square),,BIKE 70832,Subscriber
127020475,9/1/2021 19:12,9/2/2021 10:53,71152,56414,49671,9th St & Penn Ave,1059,Burns White Center at 3 Crossings,Customer
127020542,9/1/2021 19:17,9/1/2021 19:26,70650,574,1035,Fifth Ave & S Dithridge St,1023,Liberty Ave & Baum Blvd,Customer
127020550,9/1/2021 19:17,9/1/2021 19:23,70202,366,1038,Boulevard of the Allies & Parkview Ave,1093,S Bouquet Ave & Sennott St,Subscriber
127020578,9/1/2021 19:19,9/1/2021 19:22,70445,215,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1093,S Bouquet Ave & Sennott St,Subscriber
127020605,9/1/2021 19:21,9/1/2021 19:29,70612,466,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),1034,Ellsworth Ave & N Neville St,Subscriber
127020610,9/1/2021 19:21,9/1/2021 19:34,70322,803,49301,Centre Ave & N Craig St,1094,O'Hara St & Desoto St,Subscriber
127020645,9/1/2021 19:23,9/1/2021 19:35,70752,663,1066,N Homewood Ave & Finance St (Homewood Station),1026,Penn Ave & S Whitfield St,Subscriber
127020719,9/1/2021 19:29,9/1/2021 19:39,70665,652,1011,Fort Duquesne Blvd & 7th St,49781,Fifth Ave & Miltenberger St,Subscriber
127020730,9/1/2021 19:29,9/1/2021 19:38,70595,552,1060,Penn Ave & 29th St,1027,Shady Ave & Ellsworth Ave,Subscriber
127020736,9/1/2021 19:29,9/1/2021 19:42,70528,723,1024,S Negley Ave & Baum Blvd,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
127020737,9/1/2021 19:30,9/1/2021 19:39,70799,556,1024,S Negley Ave & Baum Blvd,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
127020778,9/1/2021 19:33,9/1/2021 19:54,70105,1285,1094,O'Hara St & Desoto St,1045,S 27th St & Sidney St. (Southside Works),Subscriber
127020831,9/1/2021 19:37,9/1/2021 19:39,70202,162,1093,S Bouquet Ave & Sennott St,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
127020835,9/1/2021 19:37,9/1/2021 19:48,70612,676,1034,Ellsworth Ave & N Neville St,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
127020851,9/1/2021 19:38,9/1/2021 19:47,70445,539,1093,S Bouquet Ave & Sennott St,49301,Centre Ave & N Craig St,Subscriber
127020862,9/1/2021 19:39,9/1/2021 20:04,70859,1519,49781,Fifth Ave & Miltenberger St,49261,Wightman St & Forbes Ave,Customer
127020891,9/1/2021 19:43,9/1/2021 19:54,70124,708,1010,10th St & Penn Ave,49801,Microsoft,Customer
127020893,9/1/2021 19:43,9/1/2021 19:54,70599,672,1010,10th St & Penn Ave,49801,Microsoft,Customer
127020899,9/1/2021 19:43,9/1/2021 19:58,70738,863,1091,Semple St & Louisa St,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
